date,hour,minute,city_area,ufo_shape,description,longitude,latitude,weekdats,month_name
2011-07-13,21,40,jersey city,fireball,Very fast green hazy fireball over jersey city NJ,-74.0780556,40.7280556,Wednesday,July
2012-07-13,22,00,andover,formation,While on the deck last night with my wife&#44 she called me outside to look a this object she had notice coming from the south out of hack,-74.7425,40.9858333,Friday,July
2013-07-13,20,00,haddon heights,triangle,Triangular craft over Haddon Heights&#44 NJ,-75.065,39.8772222,Saturday,July
2012-07-14,21,30,mantoloking,fireball,Orange balls&#44 fireballs&#44 steady movement,-74.0502778,40.0391667,Saturday,July
2012-07-14,22,30,mantoloking,light,Orange-Reddish orbs flying over the sky that seemed like they were on fire.,-74.0502778,40.0391667,Saturday,July
2013-07-14,21,30,mount laurel,formation,Husband and myself witness some glowing pulsating lights in the night sky&#44 we could not make out the shape of the craft&#44 but he saw a f,-74.8913889,39.9338889,Sunday,July
2013-07-15,22,00,towaco/kinnelon border,oval,2 objects-at first moving slowly together then separating.  One very bright&#44 the other not as bright. Completely soundless.,-74.405661,40.058324,Monday,July
2013-07-15,22,30,marlton,fireball,3 separate low flying fireballs traveling across the sky 2-4 min apart,-74.9222222,39.8911111,Monday,July
2011-07-16,12,00,berkley heights,flash,Bright flashing object visible in clear blue sky.,-74.431052,40.680873,Saturday,July
2012-07-17,01,10,sewell,triangle,Seen something&#44 Triangular in shape&#44 heading on a north easterly path over our farm in Sewell NJ. NOT a plane.,-75.1447222,39.7663889,Tuesday,July
2010-07-18,22,00,sicklerville,light,flashing lights swirling in the night.  ((NUFORC Note:  From witness #2.  Possible sighting of Venus??  PD)),-74.9697222,39.7172222,Sunday,July
2010-07-18,22,00,sicklerville,light,Flashing lights swirling in the night.  ((NUFORC Note:  Venus in the western sky??  Date is flawed.  Possible hoax.  PD)),-74.9697222,39.7172222,Sunday,July
2013-07-18,21,15,montclair,other,Large bright circular light that got smaller and smaller until it disappeared.,-74.2094444,40.8258333,Thursday,July
2012-07-21,21,13,brick twp.,unknown,2 possible UFO&#39s that may have been seen by other aircraft,-74.137183,40.057838,Saturday,July
2012-07-21,21,35,williamstown,fireball,8 ORANGE LIGHT WEST OF MY TOWN IN A TRIANGLE FORMATION NOT MOVING STAYED IN POSITION,-74.9955556,39.6861111,Saturday,July
2010-07-02,10,15,wanaque/oakland,oval,Pulsating light blue orb falling straight down to the ground.,-74.294221,41.040437,Friday,July
2010-07-02,21,15,hamilton,sphere,Lights in the sky during Fireworks show July 2&#44 2010,-74.6205556,40.5061111,Friday,July
2010-07-22,02,00,alloway,other,Unexplained lights and movement were spotted in the sky above my friends house.,-75.3627778,39.5608333,Thursday,July
2013-07-22,05,30,new jersey,rectangle,Bright orange rectangular UFO jumped across sky then shot off into horizon at immense speed.,-74.405661,40.058324,Monday,July
2013-07-26,22,30,jacobstown,cone,Fire colored orb(s) followed a particular path across the night sky while stopping at particular points.,-74.5836111,40.0758333,Friday,July
2012-07-27,21,15,ship bottom,sphere,Silent orange orb flying from north to south.,-74.1808333,39.6427778,Friday,July
2012-07-28,03,18,lindenwold,light,Two bright objects seen just below the clouds over southern New Jersey at 3:18am. Both had multiple white lights and moved around.,-74.9980556,39.8241667,Saturday,July
2012-07-28,21,15,north arlington,sphere,7 Red/Orange orbs.,-74.1336111,40.7883333,Saturday,July
2013-07-29,00,30,wildwood,circle,Four orange orbs of light above the Atlantic Ocean.,-74.8152778,38.9916667,Monday,July
2013-07-29,01,15,wildwood crest,circle,Orange glowing device flying high over ocean,-74.8338889,38.9747222,Monday,July
2010-07-30,20,30,paterson,other,7/30/2010/ 9:30-11:30pm/Sighting over Paterson NJ Two Satellite Looking Objects; Second Objects Lights Up For A Moment Then Dims Again,-74.1722222,40.9166667,Friday,July
2011-07-30,21,00,lumberton,fireball,Two red-orange fireballs observed and interacted with via spotlight.,-74.8055556,39.9658333,Saturday,July
2011-07-30,22,15,stone harbor,fireball,Multiple fireballs North of Stone Harbor,-74.7583333,39.0508333,Saturday,July
2011-07-30,22,30,wildwood,fireball,2 fireballs&#44 interacting with one another&#44 changing intensities for about a 15 -20 minute duration.,-74.8152778,38.9916667,Saturday,July
2012-07-30,01,00,sicklerville,flash,Bright white lights flashing then faded away with an orange glow,-74.9697222,39.7172222,Monday,July
2013-07-30,21,00,avalon,formation,Brief appearance of four lights in straight formation over the ocean.,-74.7180556,39.1011111,Tuesday,July
2013-07-30,21,00,ocean city,light,3 glowing lights over the ocean in ocean city nj 7/30/13 9pm,-74.575,39.2775,Tuesday,July
2013-07-30,22,00,clifton,fireball,2 strange orange glowing lights in the sky over Clifton&#44 NJ,-74.163755,40.858433,Tuesday,July
2013-07-30,23,00,wildwood crest,light,07/30/13 23:00 Wildwood Crest New Jersey  light  2 minutes  2 orange lights travelling west over Atlantic Ocean then dissappeared  07/3,-74.8338889,38.9747222,Tuesday,July
2010-07-03,19,00,phillipsburg,fireball,50 Red Fireballs flying over NJ.,-75.1905556,40.6936111,Saturday,July
2010-07-03,21,15,red bank,changing,Unknown Self luminous Red Obj obve fireworks display,-74.0647222,40.3469444,Saturday,July
2011-07-03,23,00,east orange,fireball,Red star like object in the sky moving around in the sky,-74.2052778,40.7672222,Sunday,July
2010-07-04,21,00,toms river,fireball,Two brilliant orange colored objects engulfed in a flame-like orange glow.,-74.1983333,39.9536111,Sunday,July
2010-07-04,21,30,swedesboro,teardrop,One red fireball&#44 and seemingly teardrop shaped object.,-75.3108333,39.7475,Sunday,July
2010-07-04,21,42,belford,disk,speeding object followed by a second object three minutes later with red glow,-74.0872222,40.4258333,Sunday,July
2010-07-04,23,00,cherry hill,triangle,orange lights,-75.0311111,39.9347222,Sunday,July
2012-07-04,21,00,brick,circle,3 separate objects headed from west to east appearing to have flames on there starboards sides. Relatively slow moving appromiately the,-74.137183,40.057838,Wednesday,July
2012-07-04,21,00,union beach,fireball,4th of July Fireball&#44 NOT a Firework.,-74.1786111,40.4463889,Wednesday,July
2013-07-04,20,40,washington,cylinder,orange glowing orb floats across sky,-74.9797222,40.7583333,Thursday,July
2013-07-04,20,40,washington,cylinder,Orange glowing orb floats across sky,-74.9797222,40.7583333,Thursday,July
2013-07-04,20,45,washington,fireball,Glowing Orb/ Fireball,-74.9797222,40.7583333,Thursday,July
2013-07-04,21,38,woodbury,cylinder,2 craft seen going west then vanishing than 936 two craft Coming north then going west bright orange Then fading into a star like mode,-75.1530556,39.8380556,Thursday,July
2011-07-05,02,45,newark,fireball,Around 2:45 AM driving by Branch Brook Park Newark&#44 NJ. Spotted red firey/glowing object slowly coming down traveling SE.,-74.1727778,40.7355556,Tuesday,July
2012-07-05,22,45,mancheter,fireball,2 bright orange low flying ball flying in formation,-74.339282,39.97117,Thursday,July
2013-07-05,02,00,toms river,light,Slow movinh Orange ball of light in nj,-74.1983333,39.9536111,Friday,July
2013-07-06,21,00,beachwood,formation,Bright red flickering light in SW&#44 white ball of light seperates into 2 &#44 other lights appeared in formation.,-74.1933333,39.9388889,Saturday,July
2013-07-06,21,30,mt. laurel,oval,2 orange/red glowing objects in night sky.,-74.8913889,39.9338889,Saturday,July
2013-07-06,21,30,old bridge,oval,5 orange oval shape objects in the sky.,-74.3658333,40.4147222,Saturday,July
2012-07-07,19,18,new brunswick,sphere,Rotating Orb Seen In New Brunswick Sky,-74.4522222,40.4861111,Saturday,July
2012-07-07,19,45,montclair,fireball,2 fireballs that crossed each other then disappeared.,-74.2094444,40.8258333,Saturday,July
2013-07-07,21,05,spotswood,light,Ball of light circling and searching ground.,-74.3988889,40.3916667,Sunday,July
2013-07-07,22,30,surf city,light,Small ball of light...similar to a star.  Floated downwards then slowly die out.,-74.1655556,39.6619444,Sunday,July
2012-07-08,21,00,linden,fireball,2 bright orange orbs in NJ sky,-74.245,40.6219444,Sunday,July
2013-07-08,02,15,atlantic city,fireball,Orange fireball over the ocean&#44 doing unexplainable things in the sky.,-74.4233333,39.3641667,Monday,July
2013-07-08,21,30,barrington,fireball,2 Orbs or fireballs 5 mins apart traveling s.e. to n.e. then disappeared in distance.,-75.0555556,39.8647222,Monday,July
2012-07-09,01,30,elizabeth,other,Hovering air craft not making a noise over jersey tpk,-74.2111111,40.6638889,Monday,July
2013-07-09,02,00,toms river,circle,Orb of light made right angle turn. Great speed upward.,-74.1983333,39.9536111,Tuesday,July
2011-08-10,12,30,south new brunswick,circle,The object looked like a large round transparent glass with a rim.,-74.451819,40.486216,Wednesday,August
2013-08-11,09,00,belmar,disk,Motionless object with changing colors observed for 30 minutes over New Jersey shore.,-74.0222222,40.1783333,Sunday,August
2013-08-11,23,30,sicklerville,diamond,First time I ever witnesed something like that.,-74.9697222,39.7172222,Sunday,August
2011-08-01,22,00,brick town,light,Unidentifiable lights over metedeconk river&#44 NJ,-74.137183,40.057838,Monday,August
2012-08-01,05,00,union city,flash,Red Light flickering 3 flickers or so per second&#44 small craft from afar by New York city&#44 New Jersey area.,-74.0241667,40.7794444,Wednesday,August
2010-08-12,14,15,secaucus,sphere,Black Sphere in Hudson County Skies,-74.0569444,40.7894444,Thursday,August
2011-08-12,22,00,forked river,fireball,4 Fireball looking things in a flight pattern. No sound. Perfect flight pattern. 5 min apart. Over the bay.,-74.1905556,39.8397222,Friday,August
2012-08-12,20,35,edison,fireball,2 Orange Fireball ufo with Nucleus Looking Centers travelling east to west as fast any  other aircraft,-74.4125,40.5186111,Sunday,August
2012-08-12,21,00,old tappan,fireball,Red fireball floating west to east in the sky over northern New Jersey,-73.9916667,41.0105556,Sunday,August
2012-08-12,22,45,keansburg,fireball,Silent object glowing orange gradually falls across sky&#44 comes back up&#44 hovers&#44 is passed by two aircraft&#44 then flickers out of sight.,-74.1302778,40.4416667,Sunday,August
2010-08-13,22,25,metuchen,other,3 swift moving dark eye-shaped attached segments of shimmering grey/silver fly abreast smoothly change to single file  nnw to w,-74.3636111,40.5430556,Friday,August
2011-08-13,18,20,atlantic highlands,light,Unexplained light,-74.0347222,40.4077778,Saturday,August
2010-08-14,20,10,westfield,fireball,Orange fireballs in New Jersey heading northeast.,-74.3477778,40.6588889,Saturday,August
2010-08-14,21,45,freehold (canada),egg,UFO spotted over Freehold&#44 New Jersey.,-74.2741667,40.26,Saturday,August
2012-08-14,03,00,stillwater,other,Bright pulsating light intervals of approx 1-2 seconds each pulse lasting approx 3 seconds,-74.8786111,41.0358333,Tuesday,August
2013-08-14,17,00,west new york,disk,This object was moving at a speed I&#39m not familiar with. Flight path was west to east&#44on this day the sky was clear &#44 sunny blue sky. I,-73.971249,40.78306,Wednesday,August
2013-08-15,21,30,avalon,triangle,Large&#44 black&#44 slow moving silent stingray shaped aircraft with 2 bright front headlights- red and green taillight,-74.7180556,39.1011111,Thursday,August
2012-08-16,03,00,port republic,changing,Two large light objects stationary in sky for over 20 minutes&#44 just changed light shapes and then gone,-74.4861111,39.5205556,Thursday,August
2012-08-16,18,20,seaside heights,disk,My wife&#44 son&#44 sister and her two kids were watching a movie on the beach in Seaside Heights&#44 NJ with at least 25 other people when my w,-74.0733333,39.9441667,Thursday,August
2012-08-16,22,00,wildwood,unknown,Very fast sighting of a light traveling at a speed that was incredible .,-74.8152778,38.9916667,Thursday,August
2013-08-16,23,00,long branch,formation,What is this: A Forfmation then cingular orbs&#33?,-73.9927778,40.3041667,Friday,August
2012-08-19,18,30,brick,sphere,1 Nucleus type of Craft&#44 Metallic Two spheres together floating over Jersey Shore,-74.137183,40.057838,Sunday,August
2013-08-19,21,59,colts neck,light,I was hanging out in front of my home walking the dog. First I saw a shooting star quizzing at speed of light of north to south. Approx,-74.1727778,40.2875,Monday,August
2013-08-02,01,15,franklinville,oval,Green oblong oval with greenish glow; very fast; turned and vanished; no color seen in or around clouds after it left.,-75.0761111,39.6180556,Friday,August
2013-08-02,23,00,paterson,light,I actually have video footage it started off as a green ball going across the sky then it stopped backed up it seem like turned differe,-74.1722222,40.9166667,Friday,August
2013-08-22,20,45,pemberton/fort dix,unknown,I saw multiple unidentified lighted Objects in the sky.,-74.61849,40.029835,Thursday,August
2012-08-23,01,47,plainsboro,fireball,2 fireball shapes over a farm in nj,-74.6008333,40.3333333,Thursday,August
2012-08-23,21,27,montclair,sphere,Orange flickering spherical object flys over Montclair NJ silently at steady speed &amp; altitude.,-74.2094444,40.8258333,Thursday,August
2012-08-23,24,00,bridgewater,other,Large green fireball with a large trail,-74.601111,40.623333,Thursday,August
2013-08-24,20,35,ogdensburg,oval,Orange fireball that disappeared then saw black saucer flying away over horizon.,-74.5927778,41.0816667,Saturday,August
2013-08-24,21,15,hackensack,circle,5 bright white lights seen over North Jersey.,-74.0438889,40.8858333,Saturday,August
2010-08-25,05,00,atlantic city,light,Multicolored light in the sky.  ((NUFORC Note:  Possibly a &quot;twinkling&quot; star.  PD)),-74.4233333,39.3641667,Wednesday,August
2012-08-25,23,00,woodstown,fireball,4 Witnesses See Hovering Fireball in Woodstown&#44 NJ,-75.3286111,39.6513889,Saturday,August
2013-08-25,21,00,hillsborough,light,Same as the reporting from Montclair&#44 Nj. &amp;quot; Large bright circular light that got smaller and smaller until it disappeared.&amp;quot; I,-74.6272222,40.4775,Sunday,August
2013-08-25,22,00,linden,oval,Green oval shaped UFO.,-74.245,40.6219444,Sunday,August
2012-08-26,18,21,annandale,fireball,One fireball looking low object moved slow at first&#44 then off it went to the east,-74.8816667,40.6408333,Sunday,August
2013-08-27,22,50,somerset,other,((HOAX??)) Alien spotted.,-74.4888889,40.4975,Tuesday,August
2010-08-28,21,00,montclair,formation,Parallel flashing lights sighted in Montclair&#44 New Jersey.,-74.2094444,40.8258333,Saturday,August
2011-08-28,11,30,east brunswick,sphere,We saw a shpere like obj. in the sky that had pulsating colors of red&#44 green&#44 blue and yellow. ((NUFORC Note:  Twinkling star? PD)),-74.4163889,40.4277778,Sunday,August
2013-08-28,20,00,marmora,triangle,Three V shaped objects with lights flying over treetops on Route 9 in Marmora&#44 NJ.,-74.6452778,39.2666667,Wednesday,August
2011-08-29,20,45,brick,circle,The cigar/circle shaped craft hovered with lights about it for about three minutes then left.,-74.137183,40.057838,Monday,August
2010-08-30,15,00,manahawkin,cone,Shiny metallic upside down cone shaped object over Jersey Shore.,-74.2591667,39.6952778,Monday,August
2013-08-30,21,00,bedminster,fireball,I was traveling 206 north off of 287 north in new jersey with my mom at approximately 9pm Saturday night&#44 August 30&#44 2013. My mom notic,-74.6458333,40.6805556,Friday,August
2012-08-31,19,45,mannington/salem,flash,Formation of bizzare blinking lights near Salem Nuclear Plant,-75.408631,39.612736,Friday,August
2011-08-03,13,15,teterboro,circle,Round shape metallic object flying in the sky.,-74.0597222,40.8597222,Wednesday,August
2012-08-03,16,00,bayonne,circle,Rapidly-approaching&#44 brightly-lit craft disappears over Kill Van Kull,-74.1147222,40.6686111,Friday,August
2012-08-03,23,00,lyndhurst,fireball,Red/Orange Ord Fireball  UFO&#44 with Nucleus Looking Center,-74.1247222,40.8119444,Friday,August
2013-08-03,00,00,hackettstown,oval,Oval shape objects that would make 90 degree turns with lights during summer nights.,-74.8294444,40.8538889,Saturday,August
2012-08-04,05,00,atlantic city,flash,Hot pink laser flash from sky 1/4 mile wide toward ground hold for 5 seconds then reversed.,-74.4233333,39.3641667,Saturday,August
2012-08-04,21,30,sicklerville,sphere,7 Red/White pulsating spheres moving in a line parallel to the ground apx. 4 minutes,-74.9697222,39.7172222,Saturday,August
2012-08-04,22,00,old bridge,light,Bright red light in Old Bridge.,-74.3658333,40.4147222,Saturday,August
2010-08-05,13,00,cape may,disk,Black Craft  broad daylight at the beach&#44 captured in photo&#44 no one saw it at the time.,-74.9063889,38.935,Thursday,August
2012-08-06,22,00,north bergen,sphere,Another Triangular Formation in the skies of new jersey 3 glowing lights,-74.0125,40.8041667,Monday,August
2012-08-07,01,00,linwood,light,Red orange blue yellow balls of flicking  light that were stationary side by side.,-74.5755556,39.3397222,Tuesday,August
2012-08-08,11,25,elizabeth,disk,It was a sauser shape object which was flying over Elizabeth very slowly and made no noise whatsoever it was very low and it had many m,-74.2111111,40.6638889,Wednesday,August
2012-08-08,21,15,surf city,sphere,Orangish glowing sphere floating across the sky???,-74.1655556,39.6619444,Wednesday,August
2012-08-08,23,05,west orange,sphere,10 - 14 reddish-orange spheres flying slowly over northern NJ.,-74.2330556,40.7705556,Wednesday,August
2013-08-08,23,35,spring lake heights,light,Bright light that was undulating and wobbly,-74.0313889,40.1502778,Thursday,August
2012-08-09,22,00,pine hill,light,Bright white light hovers&#44 then just vanishes.,-74.9925,39.7841667,Thursday,August
2011-09-10,00,00,point pleasant,light,Fireballs over new jersey,-74.0686111,40.0830556,Saturday,September
2011-09-10,02,00,glenwood,circle,Saw a amber sphere traveling from west to east&#44 stop it&#39s flight and change direction away from the planet and faded away.,-74.49,41.2511111,Saturday,September
2012-09-10,20,30,mahwah,fireball,Orange ball in the sky&#44 disappearing and re-appearing.,-74.1441667,41.0886111,Monday,September
2012-09-10,20,30,mahwah,fireball,Orange Fireball Sighting - 3 eyewitnesses&#44 captured on two video devices,-74.1441667,41.0886111,Monday,September
2010-09-11,20,00,whitehouse,fireball,information worth reading concerning possible contact.,-74.7447222,40.6183333,Saturday,September
2012-09-01,20,30,point pleasant,fireball,Orange-Red Fireball Across the Sky,-74.0686111,40.0830556,Saturday,September
2012-09-01,24,00,wildwood crest,disk,((HOAX??)) I lost power in my apt. and started to feel almost like the sensation or feeling of energy.((NUFORC Note:  Date is flawed.)),-74.8338889,38.9747222,Saturday,September
2010-09-12,21,00,toms river,cigar,Cigar shaped haze with two rectangular windows.,-74.1983333,39.9536111,Sunday,September
2012-09-12,22,20,somerset,light,Blinking Light of Short Duration &amp; Approximately 3.0 to 3.5 Minute Period.,-74.4888889,40.4975,Wednesday,September
2013-09-12,06,45,hasbrouck heights,oval,Bright UFO over NJ,-74.0811111,40.8580556,Thursday,September
2013-09-13,22,15,bricktown,sphere,Brilliant white-bluish round light in sky over new jersey.,-74.1375,40.0591667,Friday,September
2013-09-14,20,15,mt. holly/lumberton,light,Multiple orange/red lights in line formation over MT. Holly/Lumberton,-74.799607,39.966779,Saturday,September
2013-09-14,23,10,lakehurst,fireball,Two high intensity orange glowing balls of light appearing and reappearing across the sky.,-74.3116667,40.0144444,Saturday,September
2012-09-15,20,00,monroe township,light,High altitude light moves across night sky...stopping and making radical course corrections in N.J.. ((NUFORC Note:  ISS??  PD)),-74.433047,40.336419,Saturday,September
2012-09-15,22,15,point pleasant borough,fireball,An orange glowing ball that just faded into nothing.,-74.071136,40.076833,Saturday,September
2010-09-16,04,00,piscataway,unknown,Object seen over Interstate 287 in Piscataway NJ,-74.3994444,40.4991667,Thursday,September
2011-09-17,22,30,pilesgrove,light,Yellow orange spheres withnessed by audience leaving Cowtown rodeo&#44 Pilesgrove&#44 NJ.,-75.314644,39.653139,Saturday,September
2012-09-17,21,00,atlantic highlands,disk,I noticed a UFO in the night sky and at times and I read a book that a UFO was hurting someone&#39s body and I don&#39t want that to happen.,-74.0347222,40.4077778,Monday,September
2013-09-17,14,00,blackwood,sphere,A bright white sphere moving slowing across the day sky.,-75.0644444,39.8022222,Tuesday,September
2011-09-18,23,00,pitman,circle,Sat night&#44 9/17/11 Pitman and Washington twp NJ&#44 light comes down to earth and then shoots back up on an angle.,-75.1319444,39.7327778,Sunday,September
2013-09-18,22,00,newfield,NA,Me and my daughter saw a triangle shaped&#44 slow flying aircraft with white light on each point of triangle.  20-70 feet above tree line.,-75.0252778,39.5463889,Wednesday,September
2012-09-19,01,00,williamstown,light,Very bright light that moved side to side/ up and down,-74.9955556,39.6861111,Wednesday,September
2013-09-19,20,30,asbury park,sphere,Watched a neon blue orb fly directly over head&#44 slowly and silently. Appeared very close but hard to say.,-74.0125,40.2202778,Thursday,September
2012-09-20,21,45,north wildwood,light,We saw 5 orange/reddish orbs hovering slowly above us.,-74.7997222,39.0005556,Thursday,September
2013-09-20,19,30,toms river,light,Glowing &quot;star&quot; moving vertically at a fast rate after hanging in the sky for several minutes,-74.1983333,39.9536111,Friday,September
2013-09-21,23,30,verona,fireball,Red fiery balls of light disappearing into sky.,-74.2405556,40.8297222,Saturday,September
2012-09-02,03,50,edison,disk,Driving on 287 in Edison NJ&#44 I saw a disk shaped crafter that disappeared after a moment.,-74.4125,40.5186111,Sunday,September
2012-09-02,20,00,clifton,fireball,Seven red / orange fireball lights hovering in formation.,-74.163755,40.858433,Sunday,September
2013-09-22,23,03,new brunswick,light,Bright light traveling fast south parallel to I95 new bruinswick nj,-74.4522222,40.4861111,Sunday,September
2012-09-23,14,00,laurence harbor,changing,Strange cluster of what appeared to be stars in the daytime sky.,-74.2469444,40.4566667,Sunday,September
2010-09-25,19,45,chatham,circle,Orange light glowing in the sky&#44 it was twice the size of Jupiter,-74.3841667,40.7408333,Saturday,September
2012-09-25,17,40,north brunswick,other,Pill shaped dot grows larger and shines&#44 no vapor trail or sound,-74.476671,40.452516,Tuesday,September
2010-09-26,12,00,eatontown,disk,ufo,-74.0513889,40.2961111,Sunday,September
2012-09-27,17,45,woodbridge,unknown,Mystery CONTRAILS ASSOCIATED with LOUD  SKY ROAR/RUMBLE,-74.285,40.5575,Thursday,September
2013-09-27,23,40,north bergen,disk,Lights in the sky Hides bigger Object Behind it&#33,-74.0125,40.8041667,Friday,September
2013-09-28,22,20,colts neck,fireball,Strange fireball formation in the sky.,-74.1727778,40.2875,Saturday,September
2013-09-28,22,30,keansburg,fireball,Fireballs.,-74.1302778,40.4416667,Saturday,September
2012-09-29,22,00,wayne,light,Dull orange light over Wayne NJ,-74.2769444,40.9252778,Saturday,September
2013-09-29,18,00,ewing,other,Red/orange embers moving in different directions way about the clouds.,-74.8002778,40.2697222,Sunday,September
2011-09-30,03,46,north bergen,circle,U.F.O.  observation.,-74.0125,40.8041667,Friday,September
2011-09-30,20,30,sea isle city,unknown,Single Flame like entity  traveling north easterly  viewd by one individual.,-74.6933333,39.1533333,Friday,September
2013-09-30,22,30,glen gardner,unknown,Stat. obj. high in the sky that had rapidly flashing lights - colors were distinct.  ((NUFORC Note:  We suspect Arcturus.  PD)),-74.9411111,40.6966667,Monday,September
2012-09-03,19,00,belle mead,fireball,Bright Orange pulsating Light over central NJ,-74.6611111,40.4666667,Monday,September
2010-09-05,13,30,reed&#39s beach,rectangle,The shadow of a UFO passed over us under a clear blue sky.,-74.890966,39.116909,Sunday,September
2010-09-05,14,00,alantic highlands,oval,I was reviewing the pictures i took today.  I notice one picture that looked like a ufo.  I wonder if your experts can analyze this to,-74.034306,40.407886,Sunday,September
2010-09-06,03,35,kearny,triangle,Triangular shaped UFO flying over Kearny&#44  NJ,-74.1458333,40.7683333,Monday,September
2013-09-06,01,23,sicklerville,fireball,8 Formation fireballs with 2 distinct lights IN each one then a 9th that came later.,-74.9697222,39.7172222,Friday,September
2013-09-07,23,00,phillipsburg,light,Ufos in Phillipsburg NJ? I believe&#33&#33,-75.1905556,40.6936111,Saturday,September
2013-09-07,23,30,piscataway,unknown,Glowing orange light in the night sky.,-74.3994444,40.4991667,Saturday,September
2012-09-09,11,30,montclair,other,One Silver object with a big oval center and two smaller ones attached to it.,-74.2094444,40.8258333,Sunday,September
2013-09-09,20,15,clifton,other,Luminous line seen in New Jersey sky.,-74.163755,40.858433,Monday,September
2020-04-07,23,22,Burlington Co. (Presidential Lakes Estates),nj,Light,Bright red orb from all sides. 10 seconds. Then disappeared. Have video,-74.5645988,39.913727,Tuesday,April
2020-04-06,21,45,Fort Lee,nj,Light,Huge bright light appears and moves like it’s inspecting the earth below.,-73.9701381,40.8509333,Monday,April
2020-03-26,05,50,Edison,nj,Formation,I noticed that the stars were real bright...at first it looked like the big dipper.    (("Spacelink" satellites??)),-74.4120953,40.5187154,Thursday,March
2020-03-25,22,00,Kinnelon,nj,Circle,Bright spinning light hovering for about 45 minutes.  ((NUFORC Note:  Possible sighting of Venus??  PD)),-74.367096,41.0017644,Wednesday,March
2020-03-17,10,00,Howell,nj,Circle,It was very bright in the sky, far away I saw what I thought to be helicopter under the object, lights were green. ((anonymous report)),-74.2082671,40.1645785,Tuesday,March
2020-03-16,00,02,Glassboro,nj,Light,3 lights moving in sky over Route 322,-75.1118422,39.7028923,Monday,March
2020-03-11,04,55,Atlantic City,nj,Formation,20 or more lights making formation above ocean and hotel roofs. Lasted from 40 to 60 minutes,-74.4229266,39.3642834,Wednesday,March
2020-03-09,19,15,Martinsville,nj,Light,Bright light above the SW horizon like a star but too low to be a star. Hovering but occasionally moving in an erratic way from,-74.5595195,40.600449,Monday,March
2020-03-04,20,41,Atlantic City,nj,Formation,I saw two orange lights and them disappeared.  (("Starlink" satellites??)),-74.4229266,39.3642834,Wednesday,March
2020-03-02,20,15,Jersey City,nj,Light,Bright light surrounded by small lights, all change color and move in an strange manner.,-74.0431435,40.7177545,Monday,March
2020-03-01,23,00,Berlin Boro,nj,Formation,They looked like stars moving or satellites in a single line formation around 5:30 am east coast.   (("Starlink satellites??)),-74.9290536,39.7912261,Sunday,March
2020-03-01,19,00,Hawthorne,nj,Unknown,FLYING OBJECTS.,-74.1537549,40.9492649,Sunday,March
2020-03-01,05,40,Tenafly,nj,Formation,12 starlights were moving in formation from SW-NE direction.  (("Starlink satellites??)),-73.9629154,40.9253766,Sunday,March
2020-02-29,17,00,Jersey City,nj,Disk,Flying disc in the heights,-74.0431435,40.7177545,Saturday,February
2020-02-27,09,56,Norwood,nj,,MADAR Node 145,-73.9618039,40.9981532,Thursday,February
2020-02-24,05,21,Edison,nj,Light,DURING ISS PASS VIEWING SMALL OBJECT APPEARS THEN WINKS OUT,-74.4120953,40.5187154,Monday,February
2020-02-20,19,33,Norwood,nj,,MADAR Node 145,-73.9618039,40.9981532,Thursday,February
2020-02-15,01,00,Bridgewater,nj,Light,Large blue light streaming and disappearing in midair very low to the road,-74.6049061,40.5939636,Saturday,February
2020-02-14,21,15,Mullica Hill,nj,Other,bright round light! Just hovered still and then had a bluish and red light next to the bright light as it took off,-75.2240718,39.7392804,Friday,February
2020-02-13,02,00,Atco,nj,,((NUFORC Note:  No information provided by witness.  PD)),-74.887946,39.7697878,Thursday,February
2020-02-10,21,15,River Vale,nj,,MADAR Node 146,-74.0119736,41.0147679,Monday,February
2020-02-08,00,00,Ocean Gate,nj,Light,((NUFORC Note:  Witness, who elects to remain totally anonymous, provides no information.  PD)),-74.1337496,39.926785,Saturday,February
2020-02-08,05,48,Tenafly,nj,Formation,String formation. Looked like stars one after the other for a good 15min. They were moving East - North-East. The last light appeared b,-73.9629154,40.9253766,Saturday,February
2020-02-02,05,53,Hamilton Township,nj,,MADAR Node  62,-74.6796651,40.2115109,Sunday,February
2020-01-23,00,30,Blackwood,nj,Fireball,I was driving down the road and looked up and saw a super bright red light in the sky.  It looked close and was very big. It looked lik,-75.0640602,39.8023363,Thursday,January
2020-01-13,17,38,Trenton (abovd),nj,Light,Moving flying object filmed from flight from Orlando to Albany,-74.759717,40.2205824,Monday,January
2020-01-09,09,56,Laurel Springs,nj,Cylinder,I took 4 pictures of a cylinder shaped craft in the sky.,-75.0062788,39.8201141,Thursday,January
2020-01-06,21,20,Waretown,nj,Formation,Low-flying light formation hovers and then disappears.,-74.1951395,39.7915084,Monday,January
2020-01-01,00,00,Brick,nj,Circle,Large orange glowing ball floating across sky,-74.1371832,40.0578384,Wednesday,January
2019-12-31,20,30,Harmony,nj,Unknown,large slow moving craft with colored lights in Harmony, NJ.,-75.1373974,40.746765,Tuesday,December
2019-12-31,15,26,Bloomfield,nj,Oval,From my car I saw a bright white orb moving slowly near a cloud bank. I attempted to film it and it disappeared. I put the phone down a,-74.1854209,40.8067546,Tuesday,December
2019-12-29,17,25,South River,nj,Other,My son reported that for a three seconds he witnessed a bright light that was above the clouds move in an arc curve. It disappeared as,-74.3859831,40.446495,Sunday,December
